Name,BSE Code,NSE Code,ISIN Code,Industry Group,Industry,Current Price,Price to Earning,Price to book value,Market Capitalization,Promoter holding,FII holding,Change in FII holding,DII holding,Change in DII holding,Return on equity,Return on capital employed,Debt to equity,PEG Ratio,Sales,Price to Free Cash Flow,EBIT,Operating cash flow 5years,Change in promoter holding,Change in promoter holding 3Years,Pledged percentage,EPS growth 3Years,EPS growth 5Years,EPS growth 7Years,EPS growth 10Years,Sales growth 10Years,Sales growth 7Years,Sales growth 5Years
Redington,532805,REDINGTON,INE891D01026,Commercial Services & Supplies,Trading & Distributors,224.14,11.01,1.72,17558.43,0.00,61.49,-0.45,17.12,-0.16,16.89,17.47,0.28,2.36,119162.36,41.12,2208.06,-640.95,0.00,0.00,0.00,4.66,15.81,16.11,14.44,12.89,14.38,15.91
Safari Inds.,523025,SAFARI,INE429E01023,Consumer Durables,Plastic Products - Consumer,1515.30,44.22,6.66,7418.95,44.70,10.81,-1.51,28.30,1.74,16.22,19.48,0.10,4.28,2047.02,180.03,224.95,513.87,0.00,-2.53,0.00,9.12,56.85,27.79,33.69,22.42,19.81,44.23
Saksoft,590051,SAKSOFT,INE667G01023,IT - Software,Computers - Software & Consulting,144.01,13.88,2.45,1900.26,66.71,2.40,0.17,0.00,-0.14,19.58,25.50,0.06,0.74,1007.19,17.41,193.41,492.91,0.03,-0.15,0.00,18.51,24.38,20.60,22.11,15.24,15.92,21.16
Sarda Energy,504614,SARDAEN,INE385C01021,Ferrous Metals,Iron & Steel,543.90,17.44,2.60,19160.96,73.16,3.50,-0.04,3.32,0.39,16.09,17.39,0.36,0.78,5690.45,25.30,1683.71,4981.69,0.00,0.52,0.00,22.37,24.60,27.87,59.24,14.42,13.65,20.95
Schaeffler India,505790,SCHAEFFLER,INE513A01022,Auto Components,Auto Components & Equipments,4102.70,51.28,10.44,64121.99,74.13,4.25,-0.20,16.32,0.21,20.80,27.90,0.01,4.53,9792.26,136.12,1685.70,4342.07,0.00,0.00,0.00,11.33,32.73,15.13,12.43,18.57,10.87,20.09
Shaily Engineer.,501423,SHAILY,INE151G01028,Industrial Products,Plastic Products - Industrial,2751.00,78.60,19.47,12679.87,43.40,16.73,4.72,10.61,-3.03,28.16,30.17,0.27,1.05,921.20,966.25,227.63,406.37,0.00,-0.41,0.00,75.13,46.00,33.54,26.38,15.11,15.38,20.63
Shriram Pistons,544344,SHRIPISTON,INE526E01018,Auto Components,Auto Components & Equipments,3238.70,24.91,4.92,14258.53,43.75,7.65,1.03,12.89,-0.25,21.62,21.02,0.68,0.97,4458.70,40.96,839.80,2160.61,0.00,-3.00,0.00,25.53,45.86,22.67,20.36,12.34,12.50,22.80
Sika Interplant,523606,SIKA,INE438E01032,Aerospace & Defense,Aerospace & Defense,935.00,54.40,12.74,1982.18,71.72,3.21,0.07,0.04,0.00,26.08,35.24,0.00,0.87,211.23,92.22,49.24,86.70,0.00,0.00,0.00,62.19,25.57,36.02,35.55,17.67,24.51,21.52
Sirca Paints,543686,SIRCA,INE792Z01011,Consumer Durables,Paints,419.95,36.57,5.02,2379.06,65.19,6.29,-0.63,0.00,-0.32,15.77,21.47,0.07,3.01,492.48,-1830.17,92.01,157.19,0.00,-2.36,0.00,10.84,30.73,13.51,-26.31,21.45,22.92,28.50
Skipper,538562,SKIPPER,INE439E01022,Electrical Equipment,Heavy Electrical Equipment,480.35,25.19,3.68,5424.94,66.50,6.07,-0.30,1.66,0.86,16.20,23.32,0.64,0.29,5552.82,-222.87,503.42,931.28,0.02,-5.39,0.00,87.75,60.05,31.47,8.44,13.98,16.81,28.55
