Name,BSE Code,NSE Code,ISIN Code,Industry Group,Industry,Current Price,Price to Earning,Price to book value,Market Capitalization,Promoter holding,FII holding,Change in FII holding,DII holding,Change in DII holding,Return on equity,Return on capital employed,Debt to equity,PEG Ratio,Sales,Price to Free Cash Flow,EBIT,Operating cash flow 5years,Change in promoter holding,Change in promoter holding 3Years,Pledged percentage,EPS growth 3Years,EPS growth 5Years,EPS growth 7Years,EPS growth 10Years,Average return on capital employed 3Years,Average return on capital employed 5Years
BLS Internat.,540073,BLS,INE153T01027,Leisure Services,"Tour, Travel Related Services",269.05,16.12,4.50,11067.55,70.39,6.14,-0.23,2.99,0.07,32.74,29.34,0.17,0.32,2998.22,20.50,820.38,2453.37,0.00,-4.02,0.00,50.09,68.66,37.13,36.30,31.33,29.57
BSE,,BSE,INE118H01025,Capital Markets,Exchange and Data Platform,4291.20,70.33,26.19,174780.18,0.00,19.42,1.97,25.09,1.35,44.79,58.03,0.00,0.57,4833.95,97.76,3299.14,7465.95,0.00,0.00,0.00,123.98,68.26,45.10,43.42,42.46,30.80
C D S L,,CDSL,INE736A01011,Capital Markets,"Depositories, Clearing Houses and Other Intermediaries",1217.40,55.78,12.98,25443.66,15.00,11.36,-1.04,14.42,-0.70,24.52,31.97,0.00,3.02,1144.92,72.96,609.16,1927.48,0.00,-5.00,0.00,18.45,17.89,21.99,20.96,38.03,36.83
Caplin Point Lab,524742,CAPLIPOINT,INE475E01026,Pharmaceuticals & Biotechnology,Pharmaceuticals,2077.90,24.62,4.40,15788.63,70.57,6.15,-0.43,2.14,0.09,20.62,24.63,0.00,1.26,2187.19,68.81,803.66,1882.09,0.00,-0.09,0.00,19.52,21.81,20.28,30.17,25.65,26.29
Cigniti Tech.,534758,CIGNITITEC,INE675C01017,IT - Services,IT Enabled Services,1260.30,11.36,3.07,3471.74,54.00,10.43,-1.17,11.58,2.28,25.96,34.09,0.02,0.33,2211.20,25.05,412.70,629.56,0.00,19.39,0.00,35.18,13.00,31.05,22.72,34.47,33.23
Coforge,532541,COFORGE,INE591G01025,IT - Software,Computers - Software & Consulting,1398.00,36.62,4.92,60137.84,0.00,23.32,-11.21,44.42,-9.25,20.64,23.50,0.08,1.18,16402.70,71.56,2327.40,5648.30,0.00,-30.16,0.00,26.91,25.84,20.53,18.70,24.35,27.07
Cupid,530843,CUPID,INE509F01029,Personal Products,Personal Care,124.69,154.82,37.19,16761.00,46.03,1.01,-0.47,0.17,-0.13,27.30,33.46,0.13,3.03,391.40,-1910.41,145.31,85.77,0.48,0.97,24.79,50.77,30.74,32.32,21.03,24.31,23.22
eClerx Services,532927,ECLERX,INE738I01010,Commercial Services & Supplies,Business Process Outsourcing (BPO)/ Knowledge Process Outsourcing (KPO),1588.10,21.13,5.83,14921.53,54.52,11.82,0.43,23.95,-1.36,29.02,34.81,0.15,1.54,4117.03,25.52,977.26,2990.51,0.71,0.91,0.00,15.29,24.16,21.18,10.41,31.51,32.98
Eicher Motors,505200,EICHERMOT,INE066A01021,Automobiles,2/3 Wheelers,7414.00,36.58,8.10,203312.48,49.06,26.77,-0.24,14.73,0.09,23.96,30.52,0.02,1.52,23407.56,64.91,7229.04,16858.17,0.00,-0.14,0.00,23.89,32.66,14.04,15.19,30.49,27.42
Esab India,500133,ESABINDIA,INE284A01012,Industrial Products,Other Industrial Products,6989.50,54.97,25.82,10756.51,73.72,1.56,0.05,12.88,-0.05,52.34,70.03,0.01,1.98,1480.12,83.92,262.62,627.26,0.00,0.00,0.00,27.78,19.74,24.09,18.84,72.46,57.73
Frontier Springs,522195,FRONTSP,INE572D01014,Auto Components,Auto Components & Equipments,1627.10,34.08,12.36,1921.84,51.76,0.00,0.00,0.51,0.30,32.04,41.56,0.04,0.52,309.59,461.53,76.23,64.45,0.00,0.00,0.00,65.70,19.49,37.97,57.66,25.18,21.76
